instance_id,family,tier,split,spec_version,generator_version,master_seed,instance_seed,regime,generator_mode,origin,raw_file,raw_sha256,canonical_file,canonical_sha256,config_sha256,generation_plan_sha256,code_commit,n,level,raw_term_count,canonical_term_count,canonical_degree,m3,cubic_density,cubics_per_variable,pair_shadow_size,pair_reuse_score,Delta2,pair_degree_mean,pair_degree_max,fraction_reused_pairs,fraction_cubics_with_shared_pair,overlap_graph_nodes,overlap_graph_edges,overlap_graph_components,overlap_graph_max_degree,coefficient_min,coefficient_max,coefficient_abs_max,coefficient_l1,positive_cubic_mass,negative_cubic_mass,positive_cubic_count,negative_cubic_count,canonical_cancellation_count,canonical_cancellation_mass,candidate_pair_count,tau2,tau2_status,tau2_lower_bound,tau2_upper_bound
inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6,max3sat,oracle,test,benchmark_spec_v1.0,formal_data_v1,2026082701,360638212940860803,low,anchor_pair,formal_oracle_generation,raw/max3sat/inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6.json,248e259ffc661d4ecf79727fcb2d42ebfdbe1afc692245ee2257c9f2f1dbf2a4,canonical/inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6.json,010c635a016f4f69785984b3d2aa4039797baa6890053cfb8df8d449ed84a38b,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,7,2,14,21,3,5,0.14285714285714285,0.7142857142857143,10,0.33333333333333337,3,1.5,3,0.4,1.0,5,6,1,3,-5.0,5.0,5.0,56.0,2.0,8.0,1,4,10,52.0,10,2,exact,2,2
inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,cubic_spin_glass,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,7011141298580065443,low,uniform,qaoa_qmax_exclusion_promoted,raw/cubic_spin_glass/inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26.json,1a58c45ef5addd5b9f8dbe342a9e3c05726f7dee867f73c4cbc71c80b691d423,canonical/inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26.json,bdff62332bcea39a3df64042edfc5b5106e6eb712a18816856c1ddeb6fdbe9d1,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,1,8,32,3,8,0.14285714285714285,1.0,19,0.20833333333333337,2,1.263157894736842,2,0.2631578947368421,0.875,8,5,3,2,-8.0,8.0,8.0,176.0,32.0,32.0,4,4,7,40.0,19,5,exact,5,5
inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,cubic_spin_glass,compilation,test,benchmark_spec_v1.0,formal_data_v1,2026082701,1749263805260164541,low,uniform,formal_compilation_generation,raw/cubic_spin_glass/inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf.json,3fe824bb4b6fe142f15ad3c7195a757de6d7454dd1a09e2cc7bf85780aa76eea,canonical/inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf.json,ae81a87b51f31acd4f4f80692beaa5d03042c140235473c808b417a4424988d7,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,20,1,20,83,3,20,0.017543859649122806,1.0,52,0.1333333333333333,4,1.1538461538461537,4,0.11538461538461539,0.55,20,11,12,4,-8.0,8.0,8.0,394.0,88.0,72.0,11,9,20,146.0,52,,bounded_pair_shadow_too_large,1,14
inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26,max3sat,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,3079781745038321869,low,anchor_pair,formal_oracle_generation,raw/max3sat/inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26.json,87176d67f2e8161f8a5bf427a01701fd665ce58a80d0ef6f905517c914c8ffa9,canonical/inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26.json,29d1903009f911a007fbdf0d89772f983bc6ac0ebf6a964cbc3a23d28e9c55b8,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,2,16,27,3,8,0.14285714285714285,1.0,15,0.375,5,1.6,5,0.26666666666666666,1.0,8,18,1,7,-5.0,5.0,5.0,49.0,8.0,6.0,4,4,9,58.0,15,2,exact,2,2
inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,cubic_spin_glass,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,3718546926765886150,intermediate,anchor_pair,formal_compilation_generation,raw/cubic_spin_glass/inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3.json,ea9d94ca08adb44f5147423113d02d72208fe82dc5c710c30a7caf43ac2470c2,canonical/inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3.json,584c7c00c92f1fb993f25014fef126f7f07f9acb2ef29b31760078692af67b31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,20,2,40,120,3,40,0.03508771929824561,2.0,70,0.41666666666666663,15,1.7142857142857142,15,0.2,1.0,40,275,1,24,-20.0,12.0,20.0,680.0,176.0,144.0,22,18,22,400.0,70,,bounded_pair_shadow_too_large,1,3
inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f,max3sat,compilation,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,1721529162605629048,intermediate,uniform,formal_compilation_generation,raw/max3sat/inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f.json,b8595eab3eb07b172247316767d00b81dd144dec566efe6d1a2a4f5fe6063acb,canonical/inst_0a73f63fb3161b683c1ecca2d45ca1ed0133a0bb6ac68f9b778657cfc7aa7e0f.json,10773d8f10eabd487773652a55c2a010ccaa657d31a50f86ffb96aa4e16851df,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,20,4,80,183,3,79,0.06929824561403508,3.95,133,0.43881856540084385,5,1.781954887218045,5,0.5263157894736842,0.9873417721518988,79,146,3,8,-16.0,44.0,44.0,704.0,113.0,129.0,42,37,31,192.0,133,,bounded_pair_shadow_too_large,1,38
inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44,cubic_spin_glass,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,6786634881176657976,low,uniform,formal_compilation_generation,raw/cubic_spin_glass/inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44.json,013f1162263b02bc0c078497d2395a7ef93a782aa0e64a73f15d32feb4e1cf7a,canonical/inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44.json,6091ba7634138bc234b3d934d88e781fc7a5fcf445c8c7f807add030b9a8a06e,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,12,1,12,50,3,12,0.05454545454545454,1.0,29,0.19444444444444442,3,1.2413793103448276,3,0.20689655172413793,0.6666666666666666,12,8,6,3,-8.0,8.0,8.0,254.0,56.0,40.0,7,5,10,70.0,29,,bounded_pair_shadow_too_large,1,8
inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09,max3sat,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,3154708903763569224,intermediate,anchor_pair,formal_oracle_generation,raw/max3sat/inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09.json,9463f375bbcf288e6365ef8f0578afa0e34afa277d34733b9322a235298aa5fd,canonical/inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09.json,2a972b48faefdf79a006654d0f6f019b98d3ad3a080cbff0e839b619e1f97539,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,7,4,28,28,3,7,0.2,1.0,12,0.4285714285714286,4,1.75,4,0.4166666666666667,1.0,7,15,1,6,-11.0,16.0,16.0,138.0,7.0,24.0,2,5,22,166.0,12,2,exact,2,2
inst_0cb8147f35cb319c98db07725be6b560d9ac23b0be515d6aabe4baafcfed6cea,max3sat,compilation,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,1205805027220887488,low,uniform,formal_compilation_generation,raw/max3sat/inst_0cb8147f35cb319c98db07725be6b560d9ac23b0be515d6aabe4baafcfed6cea.json,e4bdd6e69293fbf053058973c442370788204f74caec9fe187bbab766891373b,canonical/inst_0cb8147f35cb319c98db07725be6b560d9ac23b0be515d6aabe4baafcfed6cea.json,4c60cfabf517936856b64bd88911029c40e7eaacfb9ddb0efadb8c6ca2893842,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,2,16,32,3,13,0.23214285714285715,1.625,19,0.5128205128205128,4,2.0526315789473686,4,0.7368421052631579,1.0,13,28,1,7,-6.0,6.0,6.0,94.0,25.0,10.0,9,4,7,32.0,19,5,exact,5,5
inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b,cubic_spin_glass,qaoa,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,7172589564129364940,low,anchor_pair,formal_qaoa_generation,raw/cubic_spin_glass/inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b.json,09ee5b196d1d14583923f9d800512853eee9d76182fe0f9a4d8c8ade2fc60e81,canonical/inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b.json,1b275a064091c6b1ff3456f6ab11a0c693df2718c4e0e3c7441bbdd4e5c61a66,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,6,1,6,20,3,6,0.3,1.0,11,0.38888888888888884,4,1.6363636363636365,4,0.36363636363636365,1.0,6,11,1,5,-8.0,8.0,8.0,108.0,24.0,24.0,3,3,8,54.0,11,2,exact,2,2
inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f,max3sat,oracle,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,5595167661644070620,low,anchor_pair,formal_oracle_generation,raw/max3sat/inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f.json,00b1ab4eb028f88f11298875822f2fb3baa95d1977fa4cb7b402171fbda3496b,canonical/inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f.json,ed8abdfa0f0df5e9a7da98a280f37663f5cd5412d7b8f114c8c6dc7608e90784,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,2,16,24,3,7,0.125,0.875,15,0.2857142857142857,4,1.4,4,0.2,1.0,7,10,1,4,-8.0,9.0,9.0,89.0,4.0,15.0,2,5,10,98.0,15,2,exact,2,2
inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d,cubic_spin_glass,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,8816558292608001856,low,uniform,formal_oracle_generation,raw/cubic_spin_glass/inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d.json,81a7441c84dc4af56b5a0e7b1434386aa7e8c0dbaa00327c6f2ab56f57a0b6d0,canonical/inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d.json,a90925c3d0e9af14fc1da0e02d3c4a401ad7da515cc2cb80446afe1992a92477,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,7,1,7,27,3,7,0.2,1.0,12,0.4285714285714286,3,1.75,3,0.5833333333333334,1.0,7,11,1,5,-12.0,10.0,12.0,189.0,56.0,0,7,0,0,0,12,3,exact,3,3
inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,cubic_spin_glass,compilation,test,benchmark_spec_v1.0,formal_data_v1,2026082701,911972518050926527,high,anchor_pair,qaoa_qmax_exclusion_promoted,raw/cubic_spin_glass/inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc.json,4cc6e4a0713f27f38cdca2a6e0e8973ead587be169184088f26190a68ea11a34,canonical/inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc.json,efb5e46f41e02283e39e051b0a440f61755114760a077079dab63ec1aae1121e,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,4,32,58,3,32,0.5714285714285714,4.0,28,0.7083333333333333,6,3.4285714285714284,6,1.0,1.0,32,148,1,11,-16.0,24.0,24.0,488.0,96.0,160.0,12,20,28,376.0,28,,bounded_pair_shadow_too_large,1,6
inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097,max3sat,qaoa,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,8941291328125638203,low,anchor_pair,formal_qaoa_generation,raw/max3sat/inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097.json,16cc220ec62594a6a8dcd31944b0df094e100a1d1ee67c38aa7bf64289fea0b4,canonical/inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097.json,810d3d05ca1ec3fdbc9e065b565848215fdccc023d83025adeb5cff2189b2d58,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,10,2,20,37,3,11,0.09166666666666666,1.1,20,0.3939393939393939,6,1.65,6,0.3,1.0,11,29,1,6,-10.0,12.0,12.0,142.0,19.0,20.0,4,7,15,124.0,20,2,exact,2,2
